Country,Concept,Unit,Data Source,Status,Scale,2008,2009,2010,2011,2012,2013
"Afghanistan, Islamic Republic of","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,,,2.01,0.2,,
"Afghanistan, Islamic Republic of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,14.9175,15,15.69,15.1458333333333,15,15.0791666666667
Albania,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.0196427128802,12.6609351537225,12.8223298853561,12.4320985987679,10.8803465425902,9.82660434431551
Albania,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.80274238793673,6.77243622651908,6.41754337281697,5.86175264225151,5.42490848079036,4.16420494025281
Algeria,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4,4,4,4,4,4
Algeria,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.26525416666667,3.67845416666667,3.22106833333333,2.1373475,0.47,1.57434833333333
Algeria,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8,8,8,8,8,8
Algeria,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.75,1.75,1.75,1.75,1.75,1.75
Angola,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,19.57,25.345,29.1666666666667,21.6666666666667,20,20
Angola,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.5891666666667,14.7941666666667,22.1016666666667,11.2707985946116,5.86416666666667,5.76930555555556
Angola,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.533605759663,15.682074235437,22.5435720221269,18.7572405365757,16.6564013212232,15.8086009013537
Angola,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.53807760064286,7.58936660757563,12.7562991888339,6.30923166027609,3.60364026674955,3.14507073587628
Anguilla,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.5,6.5,6.5,6.5,6.5,6.5
Anguilla,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.92166666666667,6.03223333333333,6.35875833333333,5.68368333333333,5.18705416666667,6.28386666666667
Anguilla,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.50850405776549,9.27365798961387,11.3786746171511,9.29584046341362,9.37731104484629,9.07778878432266
Anguilla,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.73603967308819,4.72293243862924,3.88597270660553,3.57431280353431,4.07435855058689,3.87331718154876
Antigua and Barbuda,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.5,6.5,6.5,6.5,6.5,6.5
Antigua and Barbuda,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.92166666666667,6.03223333333333,6.35875833333333,5.68368333333333,5.03760416666667,6.28401666666667
Antigua and Barbuda,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.4291009360419,10.0653700920516,10.9993475073677,10.9144525231277,10.1571966422671,9.95235329417181
Antigua and Barbuda,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.53720155682139,3.48357886848825,3.37030687182617,3.37537690057588,3.16043061576853,3.04434917695378
Argentina,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.07,10.2283333333333,9.09416666666665,9.97999999999999,9.79333333333333,13.0991666666666
Argentina,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,19.4681583333333,15.655,10.5575,14.0875,14.0608333333333,17.1466666666667
Argentina,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.0493290172212,11.6040351112797,9.16684206720562,10.6791717588966,12.0234954622098,14.8544545942618
"Armenia, Republic of","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.75185375125895,6.24596500596177,6.58075548402005,7.69111932447581,8.67545397885602,8.22767590102058
"Armenia, Republic of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,17.0494827336028,18.7644705946021,19.2004283143122,17.7544737854169,17.2300682381835,15.9949873679769
"Armenia, Republic of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.62801860934559,8.65292863099265,8.95025892533693,9.2480433144904,9.56911001362681,10.1602652886802
Aruba,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5,3,1,1,1,1
Aruba,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.454166666666667,0.05,0.05,0.05,0.05,0.05
Aruba,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.2333333333333,10.7666666666667,10.65,9.65833333333333,9.18333333333333,8.725
Aruba,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.61666666666667,3.35,2.575,1.675,1.54166666666667,1.63333333333334
Australia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.67166666666667,3.2781746031746,4.34604166666667,4.69270833333333,3.69666666666667,2.7375
Australia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.90833333333333,6.02083333333333,7.27916666666667,7.7375,6.975,6.17916666666666
Australia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.725,3.07916666666667,4.2125,4.3375,3.91666666666667,3.25
"Azerbaijan, Republic of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,19.7625,20.0291666666667,20.7,18.9883333333333,18.3458333333333,18.21
"Azerbaijan, Republic of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.2241666666667,12.1958333333333,11.64,10.8741666666667,10.215,9.89166666666667
"Bahamas, The","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.5,5.5,5.5,5.0625,4.75,4.75
"Bahamas, The","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.92083333333333,3.7825,3.44083333333333,2.63369186955964,2.01208333333333,1.68
"Bahrain, Kingdom of","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.08916666666667,1.8225,0.3775,0.6,,
"Bahrain, Kingdom of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.2234606141522,7.94142857142857,7.2475,6.79083333333333,6.035,5.935
"Bahrain, Kingdom of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.6475,1.58166666666667,1.225,1.0225,1.08416666666667,1.05833333333333
Bangladesh,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5,5,5,5,5,5
Bangladesh,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,16.375,14.6,13,13.25,13,13
Bangladesh,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.65333333333333,8.205,7.1425,10.015,11.685,11.1852190431446
Barbados,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10,7,7,7,7,7
Barbados,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.0333333333333,9.20416666666667,8.7,8.7,8.7,8.7
Barbados,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.46,2.86583333333333,2.66583333333333,2.67666666666667,2.5625,2.51083333333333
Belarus,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.55,11.675,9.21666666666666,13.575,19.4916666666667,19.1333333333333
Belarus,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.525,10.6833333333333,9.09166666666666,13.3083333333333,22.3,20.2583333333333
Belgium,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.20833333333333,9.5,,,,
Belize,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,14.1408333333333,14.0816666666667,13.8833333333333,13.3633333333333,12.4408333333333,11.5691666666667
Belize,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.4575,8.3725,7.76083333333334,6.44083333333333,4.4125,3.585
Benin,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.75,13.75,14,14,14,14
Bhutan,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2,2,2,4.5,5.5,6
Bolivia,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13,3,3,4,4,4.5
Bolivia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.67756654694617,3.55068205542653,0.899286732056178,1.87066792355937,0.674166666666666,1.59166666666667
Bolivia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.8733333333333,12.359625,9.90992714868377,10.915392341297,11.1349478606743,11.0513992821176
