Data Source,World Development Indicators,,,,,,,,,,,
,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,110.9700021,120.7891555
Andorra,AND,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.016445895,0.063481513,0.123074055,0.216865783,0.312924296,0.466727569,0.548108418,0.641864957,0.669510395
Angola,AGO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,1.018419924,1.736879439,3.639308066,5.286756416,7.516174714,10.09117657,12.64320589,15.44885027,19.10005184
Albania,ALB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,3.979408074,8.729860717,13.08936,18.23707707,26.86327359,30.76482328,31.71497789,32.75509422,33.08376474
Andean Region,ANR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Arab World,ARB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,5.968947813,6.658118054,7.39158919,14.10401333,13.19985218,15.80391832,16.92885812,21.51261082,23.16651088
United Arab Emirates,ARE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,21.04086851,47.50558065,42.27477305,42.34450616,42.39383247,54.30334816,51.68058846,54.34754267,57.01268771
Argentina,ARG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,21.78251917,22.9007241,25.55369119,28.69380685,33.16522594,37.14465168,42.20490439,48.01177957,51.38858957
Armenia,ARM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,3.029050292,4.926591679,7.627790956,14.321427,22.82013618,29.80508222,33.49556109,42.77172629,49.47099857
American Samoa,ASM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Antigua and Barbuda,ATG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,53.13951645,65.90509652,64.87889352,62.17175801,69.14406079,71.12150789,74.59323466,76.43390065,78.21548321
Australia,AUS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,133.7707411,143.4238248,147.8289154,151.5071581,148.4286604,153.71435,160.8238917,166.594564,165.9477952
Austria,AUT,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,116.262845,106.8593338,108.3404062,108.530478,109.9524424,112.0684427,112.6104109,113.4829839,115.3813886
Azerbaijan,AZE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,16.47471589,19.66699022,22.13633939,24.3149751,26.72807154,29.68284465,31.08922332
Burundi,BDI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.049378097,0.047161101,0.045124736,0.043241009,0.062290317,0.259957739,0.482946288,0.655257191,0.909675733
Belgium,BEL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,83.84731494,83.51316488,83.00847942,86.57091364,87.45202707,87.22771214,91.64409735,93.11823214,
Benin,BEN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,3.832770674
Burkina Faso,BFA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Bangladesh,BGD,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.127363982,0.19912927,0.349574712,0.504649294,0.831153638,1.265677582,2.076390372,3.639451984,5.030245987
Bulgaria,BGR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,26.18382118,34.10387651,54.11664482,66.49892282,78.51044615,86.03814447,88.70130365,93.58328715,92.83969689
Bahrain,BHR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
"Bahamas, The",BHS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,63.55646782,64.49980025,63.4437249,65.17622702,65.7341191,66.68107841,65.85139731,75.97267841,74.43360112
Bosnia and Herzegovina,BIH,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,15.60677027,20.74872796,28.50169019,42.77818935,34.56209259,37.67688433,40.03465937
Belarus,BLR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,10.76428886,15.23328536,18.70929838,25.31233623,30.03959742,33.41061717,37.97149974,41.23720071,46.01111843
Belize,BLZ,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,28.77856476,30.20933357,32.08525523,33.80906141,35.38968768,36.83527829,38.6579172,40.33022307,39.51379259
Bermuda,BMU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Bolivia,BOL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,13.31512408,14.47039588,16.92277492,20.05933755,24.50978897,27.8898423
Brazil,BRA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,105.182052,108.8842356,107.7074958,110.1328406,112.245933,115.6135928,119.0935675,117.8640327,118.6009202
Barbados,BRB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,30.57199632,32.14654324,36.84681163,37.02246957,36.75933266,32.54750176,36.5059817
Brunei Darussalam,BRN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,35.24091057,43.57781451,46.63970312,58.636715,70.77241442,80.98516835,80.26009622,78.96051971,90.50305892
Bhutan,BTN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.48687745,0.465851895,0.448122024,2.165303577,3.149936999,4.08182425,8.340432542,13.92577165,7.733689414
Botswana,BWA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,14.55908916,15.6455809,18.59718926,31.29681776,28.41149781,27.24430617,28.888815,26.66399924,26.5913453
Sub-Saharan Africa (IFC classification),CAA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Central African Republic,CAF,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0,0,0,0,0.119823198,0.312197924,0.647951292,0.893114513,0.893114513
