"","Country.Name","Country.Code","X2012","estimate"
"1","Andorra","AND",NA,NA
"2","Andean Region","ANR",NA,NA
"3","American Samoa","ASM",NA,NA
"4","Burkina Faso","BFA",NA,NA
"5","Bahrain","BHR",NA,NA
"6","Bermuda","BMU",NA,NA
"7","Sub-Saharan Africa (IFC classification)","CAA",NA,NA
"8","East Asia and the Pacific (IFC classification)","CEA",NA,NA
"9","Europe and Central Asia (IFC classification)","CEU",NA,NA
"10","Channel Islands","CHI",NA,NA
"11","Latin America and the Caribbean (IFC classification)","CLA",NA,NA
"12","Middle East and North Africa (IFC classification)","CME",NA,NA
"13","South Asia (IFC classification)","CSA",NA,NA
"14","Cuba","CUB",NA,NA
"15","Curacao","CUW",NA,NA
"16","Cayman Islands","CYM",NA,NA
"17","Eritrea","ERI",NA,NA
"18","Faeroe Islands","FRO",NA,NA
"19","Guinea","GIN",NA,NA
"20","Gambia, The","GMB",NA,NA
"21","Greenland","GRL",NA,NA
"22","Guam","GUM",NA,NA
"23","Isle of Man","IMN",NA,NA
"24","Not classified","INX",NA,NA
"25","Latin America and the Caribbean","LCR",NA,NA
"26","Liechtenstein","LIE",NA,NA
"27","St. Martin (French part)","MAF",NA,NA
"28","Mexico and Central America","MCA",NA,NA
"29","Monaco","MCO",NA,NA
"30","Northern Mariana Islands","MNP",NA,NA
"31","Mauritania","MRT",NA,NA
"32","New Caledonia","NCL",NA,NA
"33","Niger","NER",NA,NA
"34","Oman","OMN",NA,NA
"35","Puerto Rico","PRI",NA,NA
"36","Korea, Dem. Rep.","PRK",NA,NA
"37","Pacific island small states","PSS",NA,NA
"38","French Polynesia","PYF",NA,NA
"39","Southern Cone Extended","SCE",NA,NA
"40","Senegal","SEN",NA,NA
"41","San Marino","SMR",NA,NA
"42","Somalia","SOM",NA,NA
"43","South Sudan","SSD",NA,NA
"44","Sint Maarten (Dutch part)","SXM",NA,NA
"45","Turks and Caicos Islands","TCA",NA,NA
"46","Togo","TGO",NA,NA
"47","Turkmenistan","TKM",NA,NA
"48","Tuvalu","TUV",NA,NA
"49","United States","USA",NA,NA
"50","Virgin Islands (U.S.)","VIR",NA,NA
