,Country.Name,deposit,discount,lending,moneymarket,estimate
1,"Afghanistan, Islamic Republic of",NA,NA,15.075,0.2,1.718377088
2,Albania,5.150288688,NA,11.04634983,NA,3.39887687
3,Algeria,1.75,4,8,1.393898611,5.333333333
4,Angola,4.352647554,20.55555556,17.07408092,7.634756939,27.40740741
5,Anguilla,3.840662845,6.5,9.250313431,5.718201389,8.666666667
6,Antigua and Barbuda,3.193385564,6.5,10.34133415,5.668434722,8.666666667
7,Argentina,12.51904061,NA,15.09833333,10.9575,94.14558473
8,"Armenia, Republic of",9.659139539,NA,16.99317646,8.198083068,70.43699056
9,Aruba,1.616666667,1,9.188888889,0.05,1.333333333
10,Australia,3.834722222,NA,6.963888889,3.708958333,31.86694511
11,"Azerbaijan, Republic of",10.32694444,NA,18.51472222,NA,5.696837607
12,"Bahamas, The",2.108591734,NA,4.854166667,NA,1.493589744
13,"Bahrain, Kingdom of",1.055,NA,6.253611111,0.6,5.155131265
14,Bangladesh,10.96173968,5,13.08333333,NA,6.666666667
15,Barbados,2.583333333,7,8.7,NA,9.333333333
16,Belarus,18.62222222,NA,17.4,NA,5.353846154
17,Belgium,NA,1.333333333,NA,NA,1.777777778
18,Belize,4.812777778,NA,12.45777778,NA,3.833162393
19,Benin,3.5,NA,NA,NA,NA
20,Bhutan,5.333333333,NA,14,NA,4.307692308
21,Bolivia,1.589457584,4.166666667,11.03391316,1.378833752,5.555555556
22,Bosnia and Herzegovina,2.933622222,NA,7.103280556,NA,2.185624786
23,Botswana,3.9549925,8.833333333,10.72974444,NA,11.77777778
24,Brazil,8.902311701,15.87830385,35.97055556,9.439467401,21.1710718
25,Brunei Darussalam,0.277590525,NA,5.5,NA,1.692307692
26,Bulgaria,2.955247222,NA,9.797947222,0.104547222,0.898257757
27,Burkina Faso,3.5,NA,NA,NA,NA
28,Burundi,NA,13.53666667,14.23333333,NA,18.04888889
29,Cabo Verde,3.771083316,8.25,10.07708723,NA,11
30,Cambodia,1.338412191,NA,NA,NA,NA
31,Cameroon,3.236111111,3.75,NA,NA,5
32,Canada,0.502777778,NA,3,1.000277778,8.594272076
33,CEMAC,3.236111111,3.75,NA,NA,5
34,Central African Republic,3.236111111,3.75,NA,NA,5
35,Chad,3.236111111,3.75,NA,NA,5
36,Chile,5.414641386,4.916666667,9.449763916,4.866017196,6.555555556
37,"China, P.R.: Hong Kong",0.01,0.5,5,0.083333333,0.666666667
38,"China, P.R.: Macao",0.053365496,NA,5.25,0.309423333,2.658529833
39,"China, P.R.: Mainland",3.166666667,3.25,6.186666667,NA,4.333333333
40,Colombia,4.596578667,6.166666667,11.59684827,4.148012361,8.222222222
41,Comoros,1.75,1.897033333,10.5,NA,2.529377778
42,"Congo, Democratic Republic of",8.594944444,10.25,30.52202711,4.791666667,13.66666667
43,"Congo, Republic of",3.236111111,3.75,NA,NA,5
44,Costa Rica,4.208425926,NA,16.51555556,NA,5.081709402
45,Cote d'Ivoire,3.5,NA,NA,NA,NA
46,Croatia,1.7,7,9.470555556,0.932828622,9.333333333
47,Czech Republic,0.974700269,NA,5.364816528,0.871944444,7.491646778
48,Denmark,NA,NA,NA,0.314906111,2.705637232
49,Djibouti,2.003333334,NA,10.60666667,NA,3.263589745
50,Dominica,3.116962714,6.5,8.985773848,5.668434722,8.666666667
51,Dominican Republic,7.129398037,NA,14.87463351,7.477222222,64.24343675
52,Eastern Caribbean Currency Union,3.250219891,6.5,9.578371745,5.668654167,8.666666667
53,Ecuador,3.874722222,8.17,NA,NA,10.89333333
54,Egypt,7.355555556,9.25,11.775,NA,12.33333333
55,El Salvador,NA,NA,NA,NA,NA
56,Equatorial Guinea,3.236111111,3.75,NA,NA,5
57,Estonia,0.786223509,1.333333333,5.742863708,NA,1.777777778
58,Ethiopia,NA,NA,NA,NA,NA
59,Euro Area,NA,1.333333333,NA,0.308492835,1.777777778
60,Fiji,2.745526091,1,6.84628157,NA,1.333333333
61,Finland,NA,1.333333333,NA,0.72824302,1.777777778
62,France,2.166666667,1.333333333,NA,NA,1.777777778
63,Gabon,3.236111111,3.75,NA,NA,5
64,"Gambia, The",12.22861111,14.745,28,NA,19.66
65,Georgia,10.65664492,NA,14.46616942,5.720995092,49.15413444
66,Germany,NA,1.333333333,NA,0.532083333,1.777777778
