"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26011914250927","","",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.625743370957","10.5427784476843","11.415158388489","12.2660215297671","12.7535883213347","15.2045867770775","15.2382342809596","14.8032139313932","16.0065565351472","17.35617","18.4745702325255","18.8849208369941",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08379327288476E-08","2.78379022421117E-08","9.60062045386956E-08","1.26903295293462E-06","2.76425472542708E-05","0.000540256195780986","0.0291786249814336","0.0557459876923386","0.0746242092727788","0.483333141396875","2.44914198930445","4.93995024716535","11.7970230864147","21.3837697137465","29.0954273806373","35.7510649560805","39.2081179520188","43.0132627165034","50.4926010794035","46.3895827334515","56.0989699863846","68.3148555611226","71.8594742101754","72.5652201880692",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79880428001486","2.41233576920555","8.24746140309895","17.3066252552251","23.4558973604513","24.257164092533","30.591963732713","34.2710680158367","38.499233598118","39.6561477096596","40.4507665607468","40.9123145149726","41.6229028924201","42.1881261253851","43.5294376407753","43.6398804290487","41.6712090272298","42.5771285027925","41.8130781199909","41.6573048453987","45.7656949131836","45.4437540014311","46.94220646686","46.8696960577791",
"Andean Region","ANR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.37421565175906","1.34076289805277","1.33455462675379","1.32019286211757","1.28928159515591","1.3122858327564","1.36314870639948","1.32745521209046","1.25734026748905","1.34430395846746","1.46506559852237","1.3986029268167","1.42937747693113","1.45844222736398","1.54020981419791","1.73896953256561","1.88883424672148","2.07072698052666","2.40747268030412","2.0269976451421","2.22201092548296","2.54430863442172","2.63797014750556","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.664829","","",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0058657194116307","0.0101835665241134","0.066589906104802","0.969885088514148","39.9553782400444","102.216796727409","120.050328987543","138.964817192588","152.181168906294","150.119164540991","144.767591277081","147.28392495787","148.4924332002","152.223308879514","157.510167399274","157.559678231627","159.922489515225","162.382210078546","168.81051108157","171.804531812319","182.93714038384","187.095284122817","181.645076647605","184.646309437612",
